SpecID	Species	Wings	Green	Brown	Combined	Polymorphic	Pied	SexualDimorphism	AgeDependence	OtherVariants	RemarksMorphs	SourceMorphs
S01400	Dolichopoda (Dolichopoda) naxia	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01410	Dolichopoda (Dolichopoda) palpata	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01420	Dolichopoda (Dolichopoda) paraskevi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01430	Dolichopoda (Dolichopoda) patrizii	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01440	Dolichopoda (Dolichopoda) pavesii	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01450	Dolichopoda (Dolichopoda) steriotisi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01460	Dolichopoda (Dolichopoda) thasosensis	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01470	Dolichopoda (Dolichopoda) unicolor	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01480	Dolichopoda (Petrochilosina) cassagnaui	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01490	Dolichopoda (Petrochilosina) insignis	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01500	Dolichopoda (Petrochilosina) makrykapa	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01510	Dolichopoda (Petrochilosina) ochtoniai	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01520	Dolichopoda (Petrochilosina) petrochilosi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01530	Dolichopoda (Petrochilosina) saraolacosi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01540	Dolichopoda (Petrochilosina) vandeli	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01550	Troglophilus (Paratroglophilus) neglectus	short	exceptional	dominant	exceptional-dominant	polymorphic	absent	absent	absent	.	.	"images of green (algae?) on https://www.biolib.cz/en/image/id171360/, also https://www.forum-orthoptera.at/t1699f3-Wallerwirthoehle-mit-beiden-Troglophilus-Arten.html (there also mentioned)"
S01560	Troglophilus (Paratroglophilus) ovuliformis	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	only few individuals on google search and iNaturalist
S01570	Troglophilus (Troglophilus) andreinii	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01580	Troglophilus (Troglophilus) brevicauda	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01590	Troglophilus (Troglophilus) cavicola	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01600	Troglophilus (Troglophilus) lagoi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01610	Troglophilus (Troglophilus) lazaropolensis	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	images on OSF
S01620	Troglophilus (Troglophilus) marinae	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01630	Troglophilus (Troglophilus) spinulosus	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01640	Troglophilus (Troglophilus) zoiai	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01650	Troglophilus (Troglophilus) zorae	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01660	Bradyporus (Bradyporus) dasypus	short	absent	mono	absent-mono	brown	absent	absent	absent	.	.	.
S01670	Bradyporus (Callimenus) macrogaster	short	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	abundances unclear	.
S01680	Bradyporus (Callimenus) multituberculatus	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	only few individuals on google search
S01690	Bradyporus (Callimenus) oniscus	short	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	abundances unclear	.
S01700	Pycnogaster (Bradygaster) sanchezgomezi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	"image of brown in Fauna Catalunya, just one image on google search"
S01710	Pycnogaster (Bradygaster) algecirensis	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	http://www.naturalezaparatodos.es/2018/08/04/pycnogaster-bradygaster-algecirensis/ ; https://www.biodiversidadvirtual.org/insectarium/Pycnogaster-(Bradygaster)-algecirensis-Bolivar-1926-img569489.html
S01720	Pycnogaster (Bradygaster) gaditana	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	https://www.biodiversidadvirtual.org/insectarium/Pycnogaster-(Bradygaster)-gaditana-Bolivar-1900-img745495.html ; https://www.flickr.com/photos/georgeoide/5400857414
S01730	Pycnogaster (Bradygaster) inermis	.	rare	dominant	rare-dominant	polymorphic	absent	absent	absent	.	.	green ind -> https://www.flickr.com/photos/11518091@N00/1530242881/
S01740	Pycnogaster (Pycnogaster)  jugicola	.	common	dominant	common-dominant	polymorphic	absent	absent	absent	.	.	.
S01750	Pycnogaster (Pycnogaster) cucullatus	.	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	multiple picture of both morphs on iNaturalist
