SpecID	Species	R01_Britain	R02_SwedenNorway	R03_FinlandBaltic	R04_France	R05_Central_Europe	R06_Eastern_Europe	R07_Iberian_peninsula	R08_Italy	R09_BalkanBulgariaRomania	R10_Greece	R11_Southern_Russia	R12_Kazakhstan	R13_Caucasus	Rex	SumRegions	RemarksDistribution
S08040	Chorthippus (NA) nevadensis	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S08050	Chorthippus (NA) parnon	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S08060	Gomphoceridius brevipennis	-	-	-	x	-	-	x	-	-	-	-	-	-	-	2	.
S08070	Gomphocerippus rufus	x	x	x	x	x	x	-	x	x	x	x	x	x	x	13	.
S08080	Gomphocerus sibiricus	-	-	x	x	x	x	x	x	x	x	-	-	x	x	10	.
S08090	Italohippus albicornis	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08100	Italohippus modestus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08110	Italohippus monticola	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08120	Myrmeleotettix antennatus	-	-	-	-	x	-	-	-	x	-	x	x	x	x	6	.
S08130	Myrmeleotettix maculatus	x	x	x	x	x	x	x	x	x	x	x	x	x	x	14	.
S08140	Myrmeleotettix pallidus	-	-	-	-	-	-	-	-	-	-	-	x	-	x	2	.
S08150	Pseudochorthippus montanus	-	x	x	x	x	x	x	x	x	-	-	-	-	x	9	.
S08160	Pseudochorthippus parallelus	x	x	x	x	x	x	x	x	x	x	x	x	x	x	14	.
S08170	Pseudochorthippus tatrae	-	-	-	-	x	-	-	-	-	-	-	-	-	-	1	.
S08180	Stauroderus scalaris	-	-	-	x	x	x	x	x	x	x	x	x	x	x	11	.
S08190	Caucasippus rufipes	-	-	-	-	-	-	-	-	-	-	-	-	x	-	1	.
S08200	Ochrilidia harterti	-	-	-	-	-	-	-	-	-	-	-	x	x	x	3	.
S08210	Ochrilidia nuragica	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08220	Ochrilidia pruinosa	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S08230	Ochrilidia sicula	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08240	Ochrilidia tibialis	-	-	-	-	-	-	-	-	x	-	-	-	-	x	2	.
S08250	Rammeihippus dinaricus	-	-	-	-	-	-	-	-	x	-	-	-	-	x	2	.
S08260	Ramburiella (Palaeocesa) bolivari	-	-	-	-	-	-	-	-	-	-	x	x	x	x	4	.
S08270	Ramburiella (Palaeocesa) turcomana	-	-	-	-	-	-	-	x	x	x	x	x	x	x	7	.
S08280	Ramburiella (Ramburiella) hispanica	-	-	-	x	-	-	x	-	-	-	-	-	-	-	2	.
S08290	Omocestus (Dreuxius) antigai	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S08300	Omocestus (Dreuxius) bolivari	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S08310	Omocestus (Dreuxius) femoralis	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S08320	Omocestus (Dreuxius) minutissimus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S08330	Omocestus (Dreuxius) navasi	-	-	-	x	-	-	x	-	-	-	-	-	-	-	2	.
S08340	Omocestus (Dreuxius) uhagonii	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S08350	Omocestus (Omocestus) africanus 	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08360	Omocestus (Omocestus) defauti	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08370	Omocestus (Omocestus) haemorrhoidalis	-	x	x	x	x	x	x	x	x	x	x	x	x	x	13	.
S08380	Omocestus (Omocestus) lopadusae	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08390	Omocestus (Omocestus) minutus	-	-	-	-	-	-	-	-	x	x	x	x	-	-	4	.
S08400	Omocestus (Omocestus) panteli	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S08410	Omocestus (Omocestus) petraeus	-	-	-	x	x	-	x	x	x	x	x	x	x	x	10	.
S08420	Omocestus (Omocestus) raymondi	-	-	-	x	-	-	x	x	-	x	-	-	-	x	5	.
S08430	Omocestus (Omocestus) rufipes	x	x	x	x	x	x	x	x	x	x	x	x	x	x	14	.
S08440	Omocestus (Omocestus) uvarovi	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08450	Omocestus (Omocestus) viridulus	x	x	x	x	x	x	x	x	x	x	x	x	x	x	14	.
S08460	Stenobothrus apenninus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08470	Stenobothrus bolivarii	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S08480	Stenobothrus carbonarius	-	-	-	-	-	-	-	-	-	-	-	x	-	x	2	.
S08490	Stenobothrus caucasicus	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S08500	Stenobothrus clavatus	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S08510	Stenobothrus cotticus	-	-	-	x	-	-	-	-	-	-	-	-	-	-	1	.
S08520	Stenobothrus crassipes	-	-	-	-	x	-	-	-	x	-	-	-	-	-	2	.
S08530	Stenobothrus croaticus	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S08540	Stenobothrus eurasius	-	-	-	x	x	-	-	-	x	x	x	x	x	x	8	.
S08550	Stenobothrus festivus	-	-	-	x	-	-	x	-	-	-	-	-	-	-	2	.
S08560	Stenobothrus fischeri	-	-	-	x	x	-	x	x	x	x	x	x	x	x	10	.
S08570	Stenobothrus graecus	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S08580	Stenobothrus grammicus	-	-	-	x	-	-	x	-	-	-	-	-	-	-	2	.
S08590	Stenobothrus lineatus	x	-	x	x	x	x	x	x	x	-	x	x	x	x	12	.
S08600	Stenobothrus miramae	-	-	-	-	-	-	-	-	-	-	x	x	-	-	2	.
S08610	Stenobothrus mistshenkoi	-	-	-	-	-	-	-	-	-	-	-	-	x	-	1	.
S08620	Stenobothrus nigromaculatus	-	-	-	x	x	x	x	x	x	x	x	x	x	x	11	.
S08630	Stenobothrus posthumus	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S08640	Stenobothrus rubicundulus	-	-	-	x	x	-	-	x	x	x	-	-	-	-	5	.
S08650	Stenobothrus stigmaticus	x	-	-	x	x	x	x	x	x	x	x	-	-	x	10	.
S08660	Stenobothrus ursulae	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08670	Bohemanella frigida	x	x	x	x	-	-	-	-	x	x	-	-	-	x	7	.
S08680	Chortopodisma cobellii	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08690	Cophopodisma iberica	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S08700	Cophopodisma pyrenaea	-	-	-	x	-	-	x	-	-	-	-	-	-	-	2	.
S08710	Epipodisma pedemontana	-	-	-	x	-	-	-	x	-	-	-	-	-	-	2	.
S08720	Italopodisma acuminata	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08730	Italopodisma baccettii	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08740	Italopodisma costae	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08750	Italopodisma ebneri	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08760	Italopodisma fiscellana	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08770	Italopodisma lagrecai	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08780	Italopodisma lucianae	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08790	Italopodisma samnitica	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08800	Italopodisma trapezoidalis	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S08810	Micropodisma koenigi	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S08820	Micropodisma salamandra	-	-	-	-	-	-	-	x	x	-	-	-	-	-	2	.
S08830	Micropodisma svanetica	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S08840	Miramella (Galvagniella) albanica	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S08850	Miramella (Kisella) alpina	-	-	-	x	x	-	x	x	x	-	-	-	-	-	5	.
S08860	Miramella (Kisella) carinthiaca	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S08870	Miramella (Kisella) irena	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S08880	Capraiuscola ebneri 	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S08890	Nadigella formosanta	-	-	-	-	-	-	x	x	-	-	-	-	-	-	2	.
S08900	Odontopodisma acuminata	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S08910	Odontopodisma albanica	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S08920	Odontopodisma carpathica	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S08930	Odontopodisma decipiens	-	-	-	-	x	-	-	x	x	x	x	-	-	-	5	.
S08940	Odontopodisma fallax	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S08950	Odontopodisma montana	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S08960	Odontopodisma rubripes	-	-	-	-	x	-	-	-	x	-	-	-	-	-	2	.
S08970	Odontopodisma schmidtii	-	-	-	-	x	-	-	x	x	-	-	-	-	-	3	.
S08980	Oropodisma chelmosi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S08990	Oropodisma erymanthosi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S09000	Oropodisma karavica	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S09010	Oropodisma kylinii	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S09020	Oropodisma lagrecai	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S09030	Oropodisma macedonica	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S09040	Oropodisma parnassica	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S09050	Oropodisma taygetosi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S09060	Oropodisma tymphrestosi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S09070	Oropodisma willemsei	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S09080	Pachypodisma crassa	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S09090	Pachypodisma lezgina	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S09100	Peripodisma ceraunii	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S09110	Peripodisma llofizii	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S09120	Peripodisma tymphii	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S09130	Podisma amedegnatoae	-	-	-	x	-	-	-	-	-	-	-	-	-	-	1	.
S09140	Podisma cantabricae	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S09150	Podisma carpetana	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S09160	Podisma dechambrei	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S09170	Podisma eitschbergeri	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S09180	Podisma emiliae	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S09190	Podisma goidanichi	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S09200	Podisma magdalenae	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S09210	Podisma pedestris	-	-	x	x	x	x	x	x	x	x	x	x	x	x	12	.
S09220	Podisma ruffoi	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S09230	Podisma satunini	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S09240	Podisma silvestrii	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S09250	Podisma teberdina	-	-	-	-	-	-	-	-	-	-	-	-	x	-	1	.
S09260	Podisma uvarovi	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S09270	Pseudopodisma fieberi	-	-	-	-	-	-	x	x	-	-	-	-	-	-	2	.
S09280	Pseudopodisma nagyi	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S09290	Pseudopodisma transilvanica	-	-	-	-	x	-	-	x	-	-	-	-	-	-	2	.
S09300	Pseudoprumna baldensis	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S09310	Zubovskya banatica	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S09320	Acrotylus fischeri	-	-	-	x	-	-	x	x	x	-	-	-	-	-	4	.
S09330	Acrotylus insubricus	-	-	-	x	x	-	x	x	x	x	x	x	x	x	10	.
S09340	Acrotylus longipes	-	-	-	-	-	-	-	x	x	x	x	-	-	x	5	.
S09350	Acrotylus patruelis	-	-	-	-	-	-	x	x	x	x	x	-	(x)	-	5	.
S09360	Bryodema gebleri	-	-	-	-	-	-	-	-	-	-	-	x	-	x	2	.
S09370	Bryodemella (Bryodemella) tuberculatum	-	x	x	-	x	x	-	-	-	-	x	x	-	x	7	.
S09380	Aiolopus puissanti	-	-	-	x	-	-	-	x	-	-	-	-	-	-	2	.
S09390	Aiolopus simulatrix	-	-	-	-	-	-	x	x	-	-	-	-	-	x	3	.
S09400	Aiolopus strepens	-	-	-	x	-	-	x	x	x	x	x	-	x	x	8	.
S09410	Aiolopus thalassinus	-	-	-	x	x	x	x	x	x	x	x	x	x	x	11	.
S09420	Epacromius coerulipes	-	-	-	-	x	x	-	x	x	-	x	-	-	x	6	.
S09430	Epacromius pulverulentus	-	-	-	-	-	-	-	-	x	-	x	x	-	x	4	.
S09440	Epacromius tergestinus	-	-	-	x	x	-	x	x	x	-	x	x	x	x	9	.
S09450	Paracinema tricolor	-	-	-	x	x	-	x	x	x	x	x	-	-	x	8	.
S09460	Platypygius crassus	-	-	-	-	-	-	-	-	x	x	x	x	-	-	4	.
S09470	Platypygius platypygius	-	-	-	-	-	-	x	x	-	-	-	-	-	x	3	.
S09480	Locusta migratoria	x	x	x	x	x	x	x	x	x	x	x	x	x	x	14	.
S09490	Oedaleus decorus	-	-	-	x	x	x	x	x	x	x	x	x	x	x	11	.
S09500	Psophus stridulus	-	x	x	x	x	x	x	x	x	x	x	x	x	x	13	.
S09510	Pyrgodera armata	-	-	-	-	-	-	-	-	-	-	-	x	x	x	3	.
S09520	Scintharista notabilis	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
S09530	Celes variabilis	-	-	-	x	x	-	x	x	x	x	x	x	x	x	10	.
S09540	Mioscirtus wagneri	-	-	-	-	-	-	x	-	-	-	x	x	x	x	5	.
S09550	Oedipoda aurea	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S09560	Oedipoda caerulescens	-	x	x	x	x	x	x	x	x	x	x	x	x	x	13	.
S09570	Oedipoda charpentieri	-	-	-	x	-	-	x	x	-	-	-	-	-	x	4	.
S09580	Oedipoda coerulea	-	-	-	x	-	-	x	-	-	-	-	-	-	-	2	.
S09590	Oedipoda cynthiae	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S09600	Oedipoda fuscocincta	-	-	-	x	-	-	x	x	-	-	-	-	-	x	4	.
S09610	Oedipoda germanica	-	-	-	x	x	-	x	x	x	x	x	-	-	x	8	.
S09620	Oedipoda miniata	-	-	-	-	-	-	x	x	x	x	x	x	x	x	8	.
S09630	Oedipoda schochii	-	-	-	-	-	-	-	-	-	-	-	x	x	x	3	.
S09640	Oedipoda venusta	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S09650	Leptopternis gracilis	-	-	-	-	-	-	-	-	-	-	-	x	-	x	2	.
S09660	Morphacris fasciata	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
S09670	Mecostethus parapleurus	-	-	-	x	x	-	x	x	x	x	x	x	x	x	10	.
S09680	Stethophyma grossum	x	x	x	x	x	x	x	x	x	-	x	x	x	x	13	.
S09690	Hyalorrhipis clausii	-	-	-	-	-	-	-	-	-	-	x	x	x	x	4	.
S09700	Pseudoceles obscurus	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S09710	Pseudoceles oedipodioides	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S09720	Sphingoderus carinatus	-	-	-	-	-	-	-	-	x	-	-	x	-	x	3	.
S09730	Sphingonotus (Neosphingonotus) almeriense	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S09740	Sphingonotus (Neosphingonotus) azurescens	-	-	-	-	-	-	x	x	-	-	-	x	x	x	5	.
S09750	Sphingonotus (Neosphingonotus) morini	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S09760	Sphingonotus (Neosphingonotus) nodulosus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S09770	Sphingonotus (Neosphingonotus) pachecoi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S09780	Sphingonotus (Sphingonotus) arenarius	-	-	-	x	-	-	x	-	-	-	-	-	-	x	3	.
S09790	Sphingonotus (Sphingonotus) caerulans	-	x	x	x	x	x	x	x	x	x	x	x	-	x	12	.
S09800	Sphingonotus (Sphingonotus) candidus	-	-	-	-	-	-	x	x	x	-	-	-	-	-	3	.
S09810	Sphingonotus (Sphingonotus) coerulipes	-	-	-	-	-	-	-	-	x	-	x	x	x	x	5	.
S09820	Sphingonotus (Sphingonotus) corsicus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S09830	Sphingonotus (Sphingonotus) crivellarii	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S09840	Sphingonotus (Sphingonotus) eurasius	-	-	-	-	-	-	-	x	-	-	-	x	x	x	4	.
S09850	Sphingonotus (Sphingonotus) gypsicola	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S09860	Sphingonotus (Sphingonotus) halocnemi	-	-	-	-	-	-	-	-	-	-	-	x	-	x	2	.
S09870	Sphingonotus (Sphingonotus) halophilus	-	-	-	-	-	-	-	-	-	-	-	x	-	x	2	.
S09880	Sphingonotus (Sphingonotus) imitans	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S09890	Sphingonotus (Sphingonotus) lluciapomaresi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S09900	Sphingonotus (Sphingonotus) lusitanicus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S09910	Sphingonotus (Sphingonotus) maculatus	-	-	-	-	-	-	-	-	-	-	x	x	-	x	3	.
S09920	Sphingonotus (Sphingonotus) obscuratus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S09930	Sphingonotus (Sphingonotus) octofasciatus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S09940	Sphingonotus (Sphingonotus) personatus	-	-	-	-	-	-	-	x	-	x	-	-	-	-	2	.
S09950	Sphingonotus (Sphingonotus) rubescens	-	-	-	-	-	-	x	x	x	x	-	x	x	x	7	.
S09960	Sphingonotus (Sphingonotus) salinus	-	-	-	-	-	-	-	-	-	-	-	x	x	x	3	.
S09970	Sphingonotus (Sphingonotus) savignyi	-	-	-	-	-	-	-	-	-	-	-	x	-	x	2	.
S09980	Sphingonotus (Sphingonotus) uvarovi	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S09990	Thalpomena algeriana	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
S10000	Pezotettix anatolica	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S10010	Pezotettix giornae	-	-	-	-	-	-	x	x	x	x	x	-	x	x	7	.
S10020	Pezotettix lagoi	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S10030	Tropidopola cylindrica	-	-	-	-	-	-	x	x	-	-	-	-	-	x	3	.
S10040	Tropidopola graeca	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S10050	Tropidopola longicornis	-	-	-	-	-	-	-	-	x	x	-	-	-	(x)	2	.
S10060	Dericorys carthagenovae	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
S10070	Dericorys tibialis	-	-	-	-	-	-	-	-	-	-	x	-	x	x	3	.
S10080	Euryparyphes bolivari	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10090	Euryparyphes laetus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10100	Euryparyphes terrulentus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10110	Nocaracris bulgaricus	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S10120	Nocaracris cyanipes	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S10130	Nocaracris istanbul	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S10140	Nocaracris latipes	-	-	-	-	-	-	-	-	-	-	-	-	x	-	1	.
S10150	Nocaracris rimansonae	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S10160	Nocaracris rubripes	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S10170	Nocarodes daghestanicus	-	-	-	-	-	-	-	-	-	-	-	-	x	-	1	.
S10180	Nocarodes geniculatus	-	-	-	-	-	-	-	-	-	-	-	-	x	-	1	.
S10190	Paranocarodes chopardi	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S10200	Paranocarodes fieberi	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S10210	Paranocarodes straubei	-	-	-	-	-	-	-	-	x	-	-	-	-	x	2	.
S10220	Acinipe calabra	-	-	-	-	-	-	-	x	-	-	-	-	-	x	2	.
S10230	Acinipe comptei	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10240	Acinipe deceptoria	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10250	Acinipe eulaliae	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10260	Acinipe galvagnii	-	-	-	-	-	-	-	x	-	-	-	-	-	x	2	.
S10270	Acinipe hesperica	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
S10280	Acinipe ignatii	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10290	Acinipe mabillei	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10300	Acinipe paulinoi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10310	Acinipe perisi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10320	Acinipe segurensis	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10330	Acinipe tibialis	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
S10340	Eumigus ayresi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10350	Eumigus cucullatus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10360	Eumigus monticolus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10370	Eumigus punctatus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10380	Eumigus rubioi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10390	Kurtharzia nugatoria	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10400	Kurtharzia sulcata	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10410	Ocneridia nigropunctata	-	-	-	-	-	-	-	x	-	-	-	-	-	x	2	.
S10420	Ocnerodes brunneri	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10430	Ocnerodes fallaciosus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10440	Ocnerodes prosternalsi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10450	Ocnerodes soleri	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10460	Orchamus kaltenbachi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S10470	Orchamus raulinii	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S10480	Orchamus yersini	-	-	-	-	-	-	-	-	x	-	-	-	-	x	2	.
S10490	Pamphagus marmoratus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S10500	Pamphagus ortolaniae	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S10510	Pamphagus sardeus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S10520	Asiotmethis limbatus	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S10530	Asiotmethis muricatus	-	-	-	-	-	-	-	-	-	-	-	x	x	x	3	.
S10540	Asiotmethis tauricus	-	-	-	-	-	-	-	-	-	-	x	x	x	x	4	.
S10550	Asiotmethis turritus	-	-	-	-	-	-	-	-	-	-	-	-	x	x	2	.
S10560	Glyphanus obtusus	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S10570	Glyphotmethis heldreichi	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S10580	Prionotropis appula	-	-	-	-	-	-	-	x	x	-	-	-	-	-	2	.
S10590	Prionotropis azami	-	-	-	x	-	-	-	-	-	-	-	-	-	-	1	.
S10600	Prionotropis flexuosa	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10610	Prionotropis hystrix	-	-	-	x	-	-	-	-	x	-	-	-	-	-	2	.
S10620	Prionotropis rhodanica	-	-	-	x	-	-	-	-	-	-	-	-	-	-	1	.
S10630	Prionotropis willemsorum	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S10640	Pyrgomorpha (Pyrgomorpha) bispinosa	-	-	-	-	-	-	-	-	-	-	-	x	-	x	2	.
S10650	Pyrgomorpha (Pyrgomorpha) cognata	-	-	-	-	-	-	-	x	-	-	-	-	-	x	2	.
S10660	Pyrgomorpha (Pyrgomorpha) conica	-	-	-	x	-	-	x	x	-	x	-	-	-	x	5	.
S10670	Pyrgomorphula serbica	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S10680	Paratettix meridionalis	-	-	-	x	-	-	x	x	x	x	(x)	-	x	x	7	.
S10690	Tetrix bipunctata	-	x	x	x	x	x	x	x	x	-	x	(x)	x	x	11	.
S10700	Tetrix bolivari	-	-	-	x	x	-	x	x	x	x	x	-	-	x	8	.
S10710	Tetrix ceperoi	x	-	-	x	x	-	x	x	x	x	(x)	-	-	x	8	.
S10720	Tetrix depressa	-	-	-	x	-	-	x	x	x	x	x	-	x	x	8	.
S10730	Tetrix fuliginosa	-	x	x	-	x	-	-	-	-	-	-	-	-	x	4	.
S10740	Tetrix kraussi	-	-	-	-	x	-	-	x	x	x	-	-	-	-	4	.
S10750	Tetrix nodulosa	-	-	-	-	-	-	x	-	-	-	-	-	-	x	2	.
S10760	Tetrix subulata	x	x	x	x	x	x	x	x	x	x	x	x	x	x	14	.
S10770	Tetrix tenuicornis	-	-	x	x	x	x	x	x	x	x	x	x	x	x	12	.
S10780	Tetrix transsylvanica	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S10790	Tetrix tuerki	-	-	-	x	x	-	-	x	x	x	-	-	-	-	5	.
S10800	Tetrix undulata	x	x	x	x	x	x	x	-	-	-	-	-	-	-	7	.
S10810	Bruntridactylus irremipes	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S10820	Bruntridactylus tartarus	-	-	-	-	-	-	-	-	x	-	x	x	x	x	5	.
S10830	Asiotridactylus fasciatus	-	-	-	-	-	-	-	-	-	-	x	-	x	x	3	.
S10840	Xya iberica	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S10850	Xya pfaendleri	-	-	-	-	x	-	x	x	x	x	-	-	-	x	6	.
