SpecID	Species	R01_Britain	R02_SwedenNorway	R03_FinlandBaltic	R04_France	R05_Central_Europe	R06_Eastern_Europe	R07_Iberian_peninsula	R08_Italy	R09_BalkanBulgariaRomania	R10_Greece	R11_Southern_Russia	R12_Kazakhstan	R13_Caucasus	Rex	SumRegions	RemarksDistribution
S01160	Dolichopoda (Chopardina) remyi	-	-	-	-	-	-	-	x	-	x	-	-	-	-	2	.
S01170	Dolichopoda (Chopardina) schiavazzii	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S01180	Dolichopoda (Dolichopoda) annae	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01190	Dolichopoda (Dolichopoda) araneiformis	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S01200	Dolichopoda (Dolichopoda) azami	-	-	-	x	-	-	-	x	-	-	-	-	-	-	2	.
S01210	Dolichopoda (Dolichopoda) bakolitsasi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01220	Dolichopoda (Dolichopoda) calidnae	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01230	Dolichopoda (Dolichopoda) capreensis	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S01240	Dolichopoda (Dolichopoda) chopardi	-	-	-	x	-	-	-	-	-	-	-	-	-	-	1	.
S01250	Dolichopoda (Dolichopoda) christosnifoni	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01260	Dolichopoda (Dolichopoda) dalensi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01270	Dolichopoda (Dolichopoda) euxina	-	-	-	-	-	-	-	-	-	-	-	-	x	-	1	.
S01280	Dolichopoda (Dolichopoda) gasparoi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01290	Dolichopoda (Dolichopoda) geniculata	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S01300	Dolichopoda (Dolichopoda) giachinoi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01310	Dolichopoda (Dolichopoda) giulianae	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01320	Dolichopoda (Dolichopoda) graeca	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01330	Dolichopoda (Dolichopoda) hussoni	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01340	Dolichopoda (Dolichopoda) ithakii	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01350	Dolichopoda (Dolichopoda) kalithea	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01360	Dolichopoda (Dolichopoda) kiriakii	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01370	Dolichopoda (Dolichopoda) laetitiae	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S01380	Dolichopoda (Dolichopoda) linderii	-	-	-	x	-	-	-	-	-	-	-	-	-	-	1	.
S01390	Dolichopoda (Dolichopoda) matsakisi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01400	Dolichopoda (Dolichopoda) naxia	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01410	Dolichopoda (Dolichopoda) palpata	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S01420	Dolichopoda (Dolichopoda) paraskevi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01430	Dolichopoda (Dolichopoda) patrizii	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01440	Dolichopoda (Dolichopoda) pavesii	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01450	Dolichopoda (Dolichopoda) steriotisi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01460	Dolichopoda (Dolichopoda) thasosensis	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01470	Dolichopoda (Dolichopoda) unicolor	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01480	Dolichopoda (Petrochilosina) cassagnaui	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01490	Dolichopoda (Petrochilosina) insignis	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01500	Dolichopoda (Petrochilosina) makrykapa	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01510	Dolichopoda (Petrochilosina) ochtoniai	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01520	Dolichopoda (Petrochilosina) petrochilosi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01530	Dolichopoda (Petrochilosina) saraolacosi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01540	Dolichopoda (Petrochilosina) vandeli	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01550	Troglophilus (Paratroglophilus) neglectus	-	-	-	-	-	-	-	x	x	-	-	-	-	-	2	.
S01560	Troglophilus (Paratroglophilus) ovuliformis	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S01570	Troglophilus (Troglophilus) andreinii	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S01580	Troglophilus (Troglophilus) brevicauda	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S01590	Troglophilus (Troglophilus) cavicola	-	-	-	-	x	-	-	x	x	x	-	-	-	-	4	.
S01600	Troglophilus (Troglophilus) lagoi	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01610	Troglophilus (Troglophilus) lazaropolensis	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S01620	Troglophilus (Troglophilus) marinae	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01630	Troglophilus (Troglophilus) spinulosus	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01640	Troglophilus (Troglophilus) zoiai	-	-	-	-	-	-	-	-	-	x	-	-	-	-	1	.
S01650	Troglophilus (Troglophilus) zorae	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S01660	Bradyporus (Bradyporus) dasypus	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S01670	Bradyporus (Callimenus) macrogaster	-	-	-	-	-	-	-	-	x	x	-	-	-	x	3	.
S01680	Bradyporus (Callimenus) multituberculatus	-	-	-	-	-	-	-	-	x	-	x	(x)	x	-	3	.
S01690	Bradyporus (Callimenus) oniscus	-	-	-	-	-	-	-	-	x	x	-	-	-	-	2	.
S01700	Pycnogaster (Bradygaster) sanchezgomezi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01710	Pycnogaster (Bradygaster) algecirensis	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01720	Pycnogaster (Bradygaster) gaditana	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01730	Pycnogaster (Bradygaster) inermis	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01740	Pycnogaster (Pycnogaster) jugicola	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01750	Pycnogaster (Pycnogaster) cucullatus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01760	Pycnogaster (Pycnogaster) graellsii	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01770	Pycnogaster (Pycnogaster) valentini	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01780	Albarracinia zapaterii	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01790	Baetica ustulata	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01800	Callicrania (Callicrania) belarrensis	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01810	Callicrania (Callicrania) denticulata	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01820	Callicrania (Callicrania) plaxicauda	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01830	Callicrania (Callicrania) ramburii	-	-	-	x	-	-	x	-	-	-	-	-	-	-	2	.
S01840	Callicrania (Mucrocallicrania) demandae	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01850	Callicrania (Mucrocallicrania) faberi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01860	Callicrania (Mucrocallicrania) vicentae	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01870	Coracinotus notarioi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01880	Coracinotus politus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01890	Coracinotus presai	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01900	Coracinotus squamiferus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S01910	Corsteropleurus chopardi	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S01920	Ephippiger apulus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S01930	Ephippiger camillae	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S01940	Ephippiger carlottae	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S01950	Ephippiger cavannai	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S01960	Ephippiger discoidalis	-	-	-	-	-	-	-	-	x	-	-	-	-	-	1	.
S01970	Ephippiger diurnus	-	-	-	x	x	-	x	-	-	-	-	-	-	-	3	.
S01980	Ephippiger ephippiger	-	-	-	x	x	-	x	x	x	x	x	-	-	-	7	.
S01990	Ephippiger melisi	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S02000	Ephippiger perforatus	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S02010	Ephippiger persicarius	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S02020	Ephippiger provincialis	-	-	-	x	-	-	-	-	-	-	-	-	-	-	1	.
S02030	Ephippiger ruffoi	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S02040	Ephippiger terrestris	-	-	-	x	-	-	-	x	-	-	-	-	-	-	2	.
S02050	Ephippiger zelleri	-	-	-	-	-	-	-	x	-	-	-	-	-	-	1	.
S02060	Ephippigerida areolaria	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02070	Ephippigerida asella	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
