SpecID	Species	H01_Marshes_and_reeds	H02_Moist_grassland	H03_Mesic_grassland	H04_Dry_grassland	H05_Herbal_grasslands	H06_Rural_areas	H07_Open_ground	H08_Shrubs_and_heath	H09_Dry_bushland	H10_Mesic_bushland	H11_Forest_margins	H12_Woodlands	H13_Subalpine_shrubs	H14_Subalpine_grassland	H15_Alpine_rocks	H16_Ponds_and_streams	H17_Dunes_and_beaches	H18_Lowland_rocky_habitats	H19_Rocks_and_walls	H20_Domestic_habitats	H21_Caves	H22_Ants	U01_Bushes_and_trees	U02_Dense_vegetation	U03_Ground_and_vegetation	U04_Ground_dwelling	U05_Subterranean	U06_Diurnal	U07_Diurnal_and_nocturnal	U08_Nocturnal	U09_Spring	U10_Summer	U11_Winter	RemarksHabitat
S03010	Isophya ciucasi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03020	Isophya clara	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03030	Isophya costata	-	x	x	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03040	Isophya dobrogensis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03050	Isophya dochia	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03060	Isophya doneciana	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03070	Isophya fatrensis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03080	Isophya gulae	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03090	Isophya harzi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03100	Isophya hospodar	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S03110	Isophya kalishevskii	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03120	Isophya kraussii	-	x	x	-	x	-	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03130	Isophya lemnotica	-	-	x	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S03140	Isophya longicaudata	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03150	Isophya miksici	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03160	Isophya modesta	-	-	x	-	x	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03170	Isophya modestior	-	-	x	-	x	-	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03180	Isophya obtusa	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03190	Isophya pavelii	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03200	Isophya pienensis	-	-	x	-	x	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	x	-	.
S03210	Isophya plevnensis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03220	Isophya posthumoidalis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03230	Isophya pylnovi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03240	Isophya pyrenaea	-	-	x	-	x	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	x	-	.
S03250	Isophya rectipennis	-	-	-	-	-	x	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S03260	Isophya rhodopensis	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03270	Isophya schneideri	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03280	Isophya sicula	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03290	Isophya speciosa	-	-	x	-	x	-	-	x	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	x	-	.
S03300	Isophya stepposa	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03310	Isophya straubei	-	-	x	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S03320	Isophya stysi	-	-	x	-	x	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	x	-	x	x	-	.
S03330	Isophya taurica	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03340	Isophya thracica	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03350	Isophya tosevski	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	x	-	x	-	-	.
S03360	Isophya zubowskii	-	-	x	-	-	-	-	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S03370	Leptophyes albovittata	-	-	x	x	x	-	-	x	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	x	-	.
S03380	Leptophyes asamo	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03390	Leptophyes boscii	-	-	-	-	x	x	-	x	-	x	x	-	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	x	-	.
S03400	Leptophyes calabra	-	-	-	-	x	-	-	x	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	x	-	.
S03410	Leptophyes discoidalis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03420	Leptophyes intermedia	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03430	Leptophyes laticauda	-	-	-	-	x	-	-	x	x	x	x	x	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	x	-	-	x	-	.
S03440	Leptophyes lisae	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	-	-	-	-	x	x	-	-	-	-	x	-	-	x	-	.
S03450	Leptophyes punctatissima	-	-	-	-	x	-	-	x	-	x	x	x	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	x	-	x	x	-	.
S03460	Leptophyes sicula	-	-	-	-	x	-	-	x	-	x	x	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	x	-	.
S03470	Metaplastes ippolitoi	-	-	-	-	-	-	-	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	-	x	-	-	x	-	.
S03480	Metaplastes oertzemi	-	-	-	-	-	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	x	-	-	x	x	-	.
S03490	Metaplastes ornatus	-	-	-	-	-	-	-	-	x	-	x	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	x	-	-	x	x	-	.
S03500	Metaplastes pulchripennis	-	-	-	-	x	-	-	-	x	x	x	x	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	x	-	x	x	-	.
S03510	Poecilimon (Hamatopoecilimon) deplanatus	-	-	x	x	-	-	-	-	x	x	x	x	-	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S03520	Poecilimon (Hamatopoecilimon) hamatus	-	-	-	-	x	-	-	x	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S03530	Poecilimon (Hamatopoecilimon) ikariensis	-	-	x	x	-	-	-	-	x	x	x	x	-	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S03540	Poecilimon (Hamatopoecilimon) klausgerhardi	-	-	x	x	-	-	-	-	x	x	x	x	-	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S03550	Poecilimon (Hamatopoecilimon) paros	-	-	x	x	-	-	-	-	x	x	x	x	-	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S03560	Poecilimon (Hamatopoecilimon) unispinosus	-	-	x	x	-	-	-	-	x	x	x	x	-	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S03570	Poecilimon (Poecilimon) aegaeus	-	-	x	x	-	-	-	-	x	x	x	x	-	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S03580	Poecilimon (Poecilimon) affinis	-	-	x	x	x	-	-	x	x	x	x	x	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03590	Poecilimon (Poecilimon) albolineatus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03600	Poecilimon (Poecilimon) amissus	-	-	x	x	-	-	-	-	x	x	x	x	-	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S03610	Poecilimon (Poecilimon) ampliatus	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03620	Poecilimon (Poecilimon) artedentatus	-	-	x	x	-	-	-	-	x	x	x	x	-	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03630	Poecilimon (Poecilimon) athos	-	-	x	x	-	-	-	-	x	x	x	x	-	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	x	-	.
S03640	Poecilimon (Poecilimon) bidens	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03650	Poecilimon (Poecilimon) bifenestratus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03660	Poecilimon (Poecilimon) bosphoricus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03670	Poecilimon (Poecilimon) brunneri	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	x	x	-	.
S03680	Poecilimon (Poecilimon) chopardi	-	x	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03690	Poecilimon (Poecilimon) cretensis	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03700	Poecilimon (Poecilimon) djakonovi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03710	Poecilimon (Poecilimon) ebneri	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03720	Poecilimon (Poecilimon) ege	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S03730	Poecilimon (Poecilimon) elegans	-	-	x	-	x	-	-	x	-	x	-	-	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03740	Poecilimon (Poecilimon) erimanthos	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03750	Poecilimon (Poecilimon) fussii	-	-	x	x	x	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S03760	Poecilimon (Poecilimon) geoktschajcus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03770	Poecilimon (Poecilimon) gerlindae	-	-	x	x	x	-	-	-	x	x	x	x	-	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03780	Poecilimon (Poecilimon) gracilioides	-	-	x	x	x	-	-	-	x	x	x	x	-	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03790	Poecilimon (Poecilimon) gracilis	-	-	x	-	x	-	-	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	x	-	.
S03800	Poecilimon (Poecilimon) heinrichi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03810	Poecilimon (Poecilimon) heroicus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03820	Poecilimon (Poecilimon) hoelzeli	-	-	x	x	x	-	-	-	x	x	x	x	-	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03830	Poecilimon (Poecilimon) intermedius	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	x	-	.
S03840	Poecilimon (Poecilimon) istanbul 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03850	Poecilimon (Poecilimon) jablanicensis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03860	Poecilimon (Poecilimon) jonicus	-	-	-	-	x	-	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	x	-	-	x	x	-	.
S03870	Poecilimon (Poecilimon) laevissimus	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03880	Poecilimon (Poecilimon) macedonicus	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03890	Poecilimon (Poecilimon) mariannae	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03900	Poecilimon (Poecilimon) marmaraensis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03910	Poecilimon (Poecilimon) miramae	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03920	Poecilimon (Poecilimon) mytilenensis	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S03930	Poecilimon (Poecilimon) nobilis	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03940	Poecilimon (Poecilimon) nonveilleri	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03950	Poecilimon (Poecilimon) obesus	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03960	Poecilimon (Poecilimon) oligacanthus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S03970	Poecilimon (Poecilimon) orbelicus	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03980	Poecilimon (Poecilimon) ornatus	-	x	x	x	x	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S03990	Poecilimon (Poecilimon) pechevi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04000	Poecilimon (Poecilimon) pergamicus	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S04010	Poecilimon (Poecilimon) pindos	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	-	x	-	.
S04020	Poecilimon (Poecilimon) pliginskii	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04030	Poecilimon (Poecilimon) propinquus	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S04040	Poecilimon (Poecilimon) pseudornatus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04050	Poecilimon (Poecilimon) roseoviridis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04060	Poecilimon (Poecilimon) sanctipauli	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S04070	Poecilimon (Poecilimon) schmidtii	-	-	x	x	-	-	-	-	x	x	x	x	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S04080	Poecilimon (Poecilimon) scythicus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04090	Poecilimon (Poecilimon) similis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04100	Poecilimon (Poecilimon) soulion	-	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S04110	Poecilimon (Poecilimon) sureyanus	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S04120	Poecilimon (Poecilimon) syriacus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04130	Poecilimon (Poecilimon) tauricus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04140	Poecilimon (Poecilimon) thessalicus	-	-	x	x	x	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S04150	Poecilimon (Poecilimon) thoracicus	-	-	x	x	x	-	-	-	x	x	x	x	x	x	-	x	-	-	-	-	-	-	-	x	-	-	-	x	-	-	x	x	-	.
S04160	Poecilimon (Poecilimon) tricuspis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04170	Poecilimon (Poecilimon) turcicus	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S04180	Poecilimon (Poecilimon) ukrainicus 	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04190	Poecilimon (Poecilimon) veluchianus	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S04200	Poecilimon (Poecilimon) vodnensis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04210	Poecilimon (Poecilimon) werneri	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S04220	Poecilimon (Poecilimon) zimmeri	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S04230	Poecilimon (Poecilimon) zwicki	-	-	x	x	-	-	-	-	x	x	x	x	x	x	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S04240	Polysarcus denticauda	-	x	x	-	-	-	-	-	-	x	-	-	x	x	-	-	-	-	-	-	-	-	-	-	-	x	-	x	-	-	x	x	-	.
S04250	Polysarcus scutatus	-	x	x	-	-	-	-	-	-	x	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	x	-	x	-	-	x	x	-	.
S04260	Polysarcus zacharovi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04270	Odontura aspericauda	-	-	-	-	x	-	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S04280	Odontura (Odontura) borrei 	-	-	-	-	x	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	x	-	.
S04290	Odontura (Odontura) calaritana	-	-	-	-	x	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S04300	Odontura (Odontura) glabricauda	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04310	Odontura (Odontura) stenoxypha	-	-	-	-	x	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	-	x	-	x	-	-	.
S04320	Odontura (Odonturella) macphersoni	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04330	Phaneroptera falcata	-	x	x	x	x	x	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	x	-	-	x	-	.
S04340	Phaneroptera gracilis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04350	Phaneroptera nana	-	-	x	x	x	x	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	x	x	-	-	-	-	x	-	-	x	-	.
S04360	Phaneroptera sparsa	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04370	Tylopsis lilifolia	-	x	x	x	x	x	-	x	x	x	x	-	-	-	-	-	x	-	-	-	-	-	-	x	-	-	-	-	x	-	-	x	-	.
S04380	Saga campbelli	-	-	x	x	x	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	x	-	.
S04390	Saga hellenica	-	-	x	x	x	-	-	x	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	x	x	-	.
S04400	Saga natoliae	-	-	x	x	x	-	-	x	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	x	-	.
S04410	Saga pedo	-	-	x	x	x	-	-	x	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	x	-	.
S04420	Saga rammei	-	-	x	x	x	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	x	-	.
S04430	Saga rhodiensis	-	-	x	x	x	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	x	-	-	.
S04440	Ctenodecticus bolivari	-	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S04450	Ctenodecticus granatensis	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04460	Ctenodecticus lusitanicus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04470	Ctenodecticus major	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04480	Ctenodecticus masferreri	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	.	.	.	-	x	-	.
S04490	Ctenodecticus pupulus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04500	Ctenodecticus ramburi	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04510	Ctenodecticus siculus	-	-	-	x	x	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	-	x	-	-	-	x	-	.
S04520	Ctenodecticus thymi	-	-	-	x	-	-	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	.	.	.	-	x	-	.
S04530	Miramiola pusilla	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
S04540	Decticus albifrons	-	-	x	x	x	x	-	x	x	x	-	-	-	-	-	-	x	-	-	-	-	-	x	x	-	-	-	x	-	-	-	x	-	.
S04550	Decticus aprutianus	-	-	-	-	-	-	-	x	-	-	-	-	x	x	-	-	-	-	-	-	-	-	-	-	x	-	-	x	-	-	-	x	-	.
S04560	Decticus loudoni	-	-	-	x	-	x	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	x	-	-	x	-	-	-	x	-	.
